generator_id,time_slot,segment_no,quantity_mw,price_yuan_per_mwh
G2,17,7,0.61,661.3
G2,17,8,0.61,722.3
G2,17,9,0.61,783.3
G2,17,10,4.71,844.24
G2,18,1,0.68,297.3
G2,18,2,0.68,358.7
G2,18,3,0.68,420.0
G2,18,4,0.68,481.3
G2,18,5,0.68,542.7
G2,18,6,0.68,604.0
G2,18,7,0.68,665.4
G2,18,8,0.68,726.7
G2,18,9,0.68,788.1
G2,18,10,4.38,849.44
G2,19,1,0.74,292.0
G2,19,2,0.74,352.2
G2,19,3,0.74,412.5
G2,19,4,0.74,472.7
G2,19,5,0.74,533.0
G2,19,6,0.74,593.2
G2,19,7,0.74,653.5
G2,19,8,0.74,713.7
G2,19,9,0.74,774.0
G2,19,10,3.84,834.2
G2,20,1,0.78,298.3
G2,20,2,0.78,359.9
G2,20,3,0.78,421.4
G2,20,4,0.78,483.0
G2,20,5,0.78,544.5
G2,20,6,0.78,606.1
G2,20,7,0.78,667.7
G2,20,8,0.78,729.2
G2,20,9,0.78,790.8
G2,20,10,4.08,852.32
G2,21,1,0.85,304.3
G2,21,2,0.85,367.1
G2,21,3,0.85,429.9
G2,21,4,0.85,492.7
G2,21,5,0.85,555.5
G2,21,6,0.85,618.3
G2,21,7,0.85,681.1
G2,21,8,0.85,743.9
G2,21,9,0.85,806.7
G2,21,10,4.15,869.47
G2,22,1,0.87,305.6
G2,22,2,0.87,368.7
G2,22,3,0.87,431.7
G2,22,4,0.87,494.8
G2,22,5,0.87,557.8
G2,22,6,0.87,620.9
G2,22,7,0.87,684.0
G2,22,8,0.87,747.0
G2,22,9,0.87,810.1
G2,22,10,5.67,873.14
G2,23,1,0.99,296.0
G2,23,2,0.99,357.1
G2,23,3,0.99,418.1
G2,23,4,0.99,479.2
G2,23,5,0.99,540.3
G2,23,6,0.99,601.4
G2,23,7,0.99,662.4
G2,23,8,0.99,723.5
G2,23,9,0.99,784.6
G2,23,10,5.19,845.65
G2,24,1,1.18,275.3
G2,24,2,1.18,332.1
G2,24,3,1.18,388.9
G2,24,4,1.18,445.7
G2,24,5,1.18,502.5
G2,24,6,1.18,559.3
G2,24,7,1.18,616.1
G2,24,8,1.18,672.9
G2,24,9,1.18,729.7
G2,24,10,5.28,786.5
G2,25,1,1.34,300.0
G2,25,2,1.34,361.9
G2,25,3,1.34,423.8
G2,25,4,1.34,485.8
G2,25,5,1.34,547.7
G2,25,6,1.34,609.6
G2,25,7,1.34,671.5
G2,25,8,1.34,733.4
G2,25,9,1.34,795.3
G2,25,10,5.74,857.22
G2,26,1,1.48,300.2
G2,26,2,1.48,362.1
G2,26,3,1.48,424.1
G2,26,4,1.48,486.0
G2,26,5,1.48,547.9
G2,26,6,1.48,609.9
G2,26,7,1.48,671.8
G2,26,8,1.48,733.8
G2,26,9,1.48,795.7
G2,26,10,6.08,857.65
G2,27,1,1.63,290.1
G2,27,2,1.63,350.0
G2,27,3,1.63,409.9
G2,27,4,1.63,469.7
G2,27,5,1.63,529.6
G2,27,6,1.63,589.5
G2,27,7,1.63,649.3
G2,27,8,1.63,709.2
G2,27,9,1.63,769.1
G2,27,10,6.63,828.93
G2,28,1,1.89,255.9
G2,28,2,1.89,308.7
G2,28,3,1.89,361.5
G2,28,4,1.89,414.3
G2,28,5,1.89,467.1
G2,28,6,1.89,519.9
G2,28,7,1.89,572.7
G2,28,8,1.89,625.5
G2,28,9,1.89,678.3
G2,28,10,6.69,731.09
G2,29,1,2.06,297.5
G2,29,2,2.06,358.9
G2,29,3,2.06,420.3
G2,29,4,2.06,481.7
G2,29,5,2.06,543.1
G2,29,6,2.06,604.5
G2,29,7,2.06,665.9
G2,29,8,2.06,727.3
G2,29,9,2.06,788.7
G2,29,10,6.46,850.06
G2,30,1,2.22,281.7
G2,30,2,2.22,339.9
G2,30,3,2.22,398.0
G2,30,4,2.22,456.2
G2,30,5,2.22,514.3
G2,30,6,2.22,572.4
G2,30,7,2.22,630.6
G2,30,8,2.22,688.7
G2,30,9,2.22,746.9
G2,30,10,6.92,804.99
G2,31,1,2.45,244.2
G2,31,2,2.45,294.6
G2,31,3,2.45,344.9
G2,31,4,2.45,395.3
G2,31,5,2.45,445.7
G2,31,6,2.45,496.1
G2,31,7,2.45,546.5
G2,31,8,2.45,596.9
G2,31,9,2.45,647.3
G2,31,10,5.95,697.65
G2,32,1,2.58,213.9
G2,32,2,2.58,258.0
G2,32,3,2.58,302.1
G2,32,4,2.58,346.3
G2,32,5,2.58,390.4
G2,32,6,2.58,434.5
G2,32,7,2.58,478.7
G2,32,8,2.58,522.8
G2,32,9,2.58,566.9
G2,32,10,5.88,611.08
G2,33,1,2.72,278.6
G2,33,2,2.72,336.1
G2,33,3,2.72,393.5
G2,33,4,2.72,451.0
G2,33,5,2.72,508.5
G2,33,6,2.72,566.0
G2,33,7,2.72,623.5
G2,33,8,2.72,681.0
G2,33,9,2.72,738.4
G2,33,10,5.62,795.93
G2,34,1,2.80,234.4
G2,34,2,2.80,282.7
G2,34,3,2.80,331.1
G2,34,4,2.80,379.4
G2,34,5,2.80,427.8
G2,34,6,2.80,476.2
G2,34,7,2.80,524.5
G2,34,8,2.80,572.9
G2,34,9,2.80,621.2
G2,34,10,5.20,669.61
G2,35,1,2.92,197.5
G2,35,2,2.92,238.2
G2,35,3,2.92,279.0
G2,35,4,2.92,319.7
G2,35,5,2.92,360.4
G2,35,6,2.92,401.2
G2,35,7,2.92,441.9
G2,35,8,2.92,482.7
G2,35,9,2.92,523.4
G2,35,10,5.62,564.17
G2,36,1,3.06,168.7
G2,36,2,3.06,203.5
G2,36,3,3.06,238.4
G2,36,4,3.06,273.2
G2,36,5,3.06,308.0
G2,36,6,3.06,342.8
G2,36,7,3.06,377.6
G2,36,8,3.06,412.4
G2,36,9,3.06,447.2
G2,36,10,5.36,482.06
G2,37,1,3.14,211.8
G2,37,2,3.14,255.5
G2,37,3,3.14,299.2
G2,37,4,3.14,342.9
G2,37,5,3.14,386.7
G2,37,6,3.14,430.4
G2,37,7,3.14,474.1
G2,37,8,3.14,517.8
G2,37,9,3.14,561.5
G2,37,10,5.44,605.2
G2,38,1,3.22,162.9
G2,38,2,3.22,196.5
G2,38,3,3.22,230.1
G2,38,4,3.22,263.7
G2,38,5,3.22,297.3
G2,38,6,3.22,330.9
G2,38,7,3.22,364.5
G2,38,8,3.22,398.1
G2,38,9,3.22,431.7
G2,38,10,5.32,465.29
G2,39,1,3.25,120.6
G2,39,2,3.25,145.4
G2,39,3,3.25,170.3
G2,39,4,3.25,195.2
G2,39,5,3.25,220.1
G2,39,6,3.25,245.0
G2,39,7,3.25,269.8
G2,39,8,3.25,294.7
G2,39,9,3.25,319.6
G2,39,10,3.85,344.48
G2,40,1,3.34,97.8
G2,40,2,3.34,118.0
G2,40,3,3.34,138.2
G2,40,4,3.34,158.4
G2,40,5,3.34,178.6
G2,40,6,3.34,198.8
G2,40,7,3.34,218.9
G2,40,8,3.34,239.1
G2,40,9,3.34,259.3
G2,40,10,4.44,279.51
G2,41,1,3.50,95.6
G2,41,2,3.50,115.3
G2,41,3,3.50,135.0
G2,41,4,3.50,154.7
G2,41,5,3.50,174.4
G2,41,6,3.50,194.1
G2,41,7,3.50,213.9
G2,41,8,3.50,233.6
G2,41,9,3.50,253.3
G2,41,10,4.10,273.02
G2,42,1,3.39,52.5
G2,42,2,3.39,63.3
G2,42,3,3.39,74.1
G2,42,4,3.39,85.0
G2,42,5,3.39,95.8
G2,42,6,3.39,106.6
G2,42,7,3.39,117.5
G2,42,8,3.39,128.3
G2,42,9,3.39,139.1
G2,42,10,4.29,149.95
G2,43,1,3.38,42.8
G2,43,2,3.38,51.7
G2,43,3,3.38,60.5
G2,43,4,3.38,69.4
G2,43,5,3.38,78.2
G2,43,6,3.38,87.0
G2,43,7,3.38,95.9
G2,43,8,3.38,104.7
G2,43,9,3.38,113.6
G2,43,10,3.38,122.4
G2,44,1,3.31,13.0
G2,44,2,3.31,15.6
G2,44,3,3.31,18.3
G2,44,4,3.31,21.0
G2,44,5,3.31,23.7
G2,44,6,3.31,26.3
G2,44,7,3.31,29.0
G2,44,8,3.31,31.7
G2,44,9,3.31,34.4
G2,44,10,3.71,37.04
G2,45,1,3.29,43.1
G2,45,2,3.29,52.0
G2,45,3,3.29,60.9
G2,45,4,3.29,69.8
G2,45,5,3.29,78.7
G2,45,6,3.29,87.7
G2,45,7,3.29,96.6
G2,45,8,3.29,105.5
G2,45,9,3.29,114.4
G2,45,10,4.49,123.26
G2,46,1,3.04,20.6
G2,46,2,3.04,24.8
G2,46,3,3.04,29.0
G2,46,4,3.04,33.3
G2,46,5,3.04,37.5
G2,46,6,3.04,41.8
G2,46,7,3.04,46.0
G2,46,8,3.04,50.2
G2,46,9,3.04,54.5
G2,46,10,6.94,58.72
G2,47,1,2.88,11.9
G2,47,2,2.88,14.3
G2,47,3,2.88,16.8
G2,47,4,2.88,19.3
G2,47,5,2.88,21.7
G2,47,6,2.88,24.2
G2,47,7,2.88,26.6
G2,47,8,2.88,29.1
G2,47,9,2.88,31.5
G2,47,10,6.98,33.98
G2,48,1,2.84,8.3
G2,48,2,2.84,10.1
G2,48,3,2.84,11.8
G2,48,4,2.84,13.5
G2,48,5,2.84,15.2
G2,48,6,2.84,16.9
G2,48,7,2.84,18.7
G2,48,8,2.84,20.4
G2,48,9,2.84,22.1
G2,48,10,7.04,23.82
G2,49,1,2.70,16.4
G2,49,2,2.70,19.7
G2,49,3,2.70,23.1
G2,49,4,2.70,26.5
G2,49,5,2.70,29.8
G2,49,6,2.70,33.2
G2,49,7,2.70,36.6
G2,49,8,2.70,40.0
G2,49,9,2.70,43.3
G2,49,10,8.30,46.72
G2,50,1,2.72,5.4
G2,50,2,2.72,6.5
G2,50,3,2.72,7.6
G2,50,4,2.72,8.7
G2,50,5,2.72,9.8
G2,50,6,2.72,10.9
G2,50,7,2.72,12.0
G2,50,8,2.72,13.1
G2,50,9,2.72,14.2
G2,50,10,7.22,15.31
G2,51,1,2.62,10.2
G2,51,2,2.62,12.4
G2,51,3,2.62,14.5
G2,51,4,2.62,16.6
G2,51,5,2.62,18.7
G2,51,6,2.62,20.8
G2,51,7,2.62,22.9
G2,51,8,2.62,25.0
G2,51,9,2.62,27.2
G2,51,10,7.82,29.27
G2,52,1,2.52,10.9
G2,52,2,2.52,13.2
G2,52,3,2.52,15.4
G2,52,4,2.52,17.7
G2,52,5,2.52,20.0
G2,52,6,2.52,22.2
G2,52,7,2.52,24.5
G2,52,8,2.52,26.7
G2,52,9,2.52,29.0
G2,52,10,7.92,31.23
G2,53,1,2.45,21.4
G2,53,2,2.45,25.9
G2,53,3,2.45,30.3
G2,53,4,2.45,34.7
G2,53,5,2.45,39.1
G2,53,6,2.45,43.5
G2,53,7,2.45,48.0
G2,53,8,2.45,52.4
G2,53,9,2.45,56.8
G2,53,10,8.95,61.23
G2,54,1,2.34,7.3
G2,54,2,2.34,8.8
G2,54,3,2.34,10.3
G2,54,4,2.34,11.8
G2,54,5,2.34,13.3
G2,54,6,2.34,14.8
G2,54,7,2.34,16.3
G2,54,8,2.34,17.8
G2,54,9,2.34,19.3
G2,54,10,8.34,20.82
G2,55,1,2.37,0.6
G2,55,2,2.37,0.7
G2,55,3,2.37,0.8
G2,55,4,2.37,1.0
G2,55,5,2.37,1.1
G2,55,6,2.37,1.2
G2,55,7,2.37,1.3
G2,55,8,2.37,1.5
G2,55,9,2.37,1.6
G2,55,10,9.17,1.71
G2,56,1,2.50,1.9
G2,56,2,2.50,2.3
G2,56,3,2.50,2.7
G2,56,4,2.50,3.1
G2,56,5,2.50,3.5
G2,56,6,2.50,3.9
G2,56,7,2.50,4.3
G2,56,8,2.50,4.7
G2,56,9,2.50,5.1
G2,56,10,8.80,5.45
G2,57,1,2.45,0.2
G2,57,2,2.45,0.2
G2,57,3,2.45,0.3
G2,57,4,2.45,0.3
G2,57,5,2.45,0.4
G2,57,6,2.45,0.4
G2,57,7,2.45,0.4
G2,57,8,2.45,0.5
G2,57,9,2.45,0.5
G2,57,10,9.35,0.55
G2,58,1,2.51,5.2
G2,58,2,2.51,6.2
G2,58,3,2.51,7.3
G2,58,4,2.51,8.4
G2,58,5,2.51,9.4
G2,58,6,2.51,10.5
G2,58,7,2.51,11.6
G2,58,8,2.51,12.6
G2,58,9,2.51,13.7
G2,58,10,9.21,14.76
G2,59,1,2.47,18.3
G2,59,2,2.47,22.0
G2,59,3,2.47,25.8
G2,59,4,2.47,29.6
G2,59,5,2.47,33.3
G2,59,6,2.47,37.1
G2,59,7,2.47,40.9
G2,59,8,2.47,44.6
G2,59,9,2.47,48.4
G2,59,10,10.97,52.17
G2,60,1,2.51,22.1
G2,60,2,2.51,26.7
G2,60,3,2.51,31.3
G2,60,4,2.51,35.8
G2,60,5,2.51,40.4
G2,60,6,2.51,45.0
G2,60,7,2.51,49.5
G2,60,8,2.51,54.1
G2,60,9,2.51,58.7
G2,60,10,11.21,63.25
G2,61,1,2.47,0.2
G2,61,2,2.47,0.3
G2,61,3,2.47,0.3
G2,61,4,2.47,0.4
G2,61,5,2.47,0.4
G2,61,6,2.47,0.5
G2,61,7,2.47,0.5
G2,61,8,2.47,0.6
G2,61,9,2.47,0.6
G2,61,10,11.87,0.67
G2,62,1,2.56,10.0
G2,62,2,2.56,12.0
G2,62,3,2.56,14.1
G2,62,4,2.56,16.2
G2,62,5,2.56,18.2
G2,62,6,2.56,20.3
G2,62,7,2.56,22.3
G2,62,8,2.56,24.4
G2,62,9,2.56,26.5
G2,62,10,11.36,28.53
G2,63,1,2.63,19.7
G2,63,2,2.63,23.8
G2,63,3,2.63,27.9
G2,63,4,2.63,31.9
G2,63,5,2.63,36.0
G2,63,6,2.63,40.1
G2,63,7,2.63,44.1
G2,63,8,2.63,48.2
G2,63,9,2.63,52.3
G2,63,10,12.53,56.33
G2,64,1,2.70,31.2
G2,64,2,2.70,37.6
G2,64,3,2.70,44.1
G2,64,4,2.70,50.5
G2,64,5,2.70,56.9
G2,64,6,2.70,63.4
G2,64,7,2.70,69.8
G2,64,8,2.70,76.2
G2,64,9,2.70,82.7
G2,64,10,11.30,89.09
G2,65,1,2.71,14.6
G2,65,2,2.71,17.6
G2,65,3,2.71,20.6
G2,65,4,2.71,23.6
G2,65,5,2.71,26.6
G2,65,6,2.71,29.6
G2,65,7,2.71,32.6
G2,65,8,2.71,35.6
G2,65,9,2.71,38.6
G2,65,10,11.61,41.64
G2,66,1,2.75,46.2
G2,66,2,2.75,55.8
G2,66,3,2.75,65.3
G2,66,4,2.75,74.8
G2,66,5,2.75,84.4
G2,66,6,2.75,93.9
G2,66,7,2.75,103.5
G2,66,8,2.75,113.0
G2,66,9,2.75,122.5
G2,66,10,12.45,132.07
G2,67,1,2.79,55.1
G2,67,2,2.79,66.5
G2,67,3,2.79,77.9
G2,67,4,2.79,89.3
G2,67,5,2.79,100.7
G2,67,6,2.79,112.0
G2,67,7,2.79,123.4
G2,67,8,2.79,134.8
G2,67,9,2.79,146.2
G2,67,10,13.19,157.54
G2,68,1,2.96,121.0
G2,68,2,2.96,146.0
G2,68,3,2.96,171.0
G2,68,4,2.96,196.0
G2,68,5,2.96,220.9
G2,68,6,2.96,245.9
G2,68,7,2.96,270.9
G2,68,8,2.96,295.9
G2,68,9,2.96,320.9
G2,68,10,11.46,345.83
G2,69,1,2.97,122.9
G2,69,2,2.97,148.2
G2,69,3,2.97,173.6
G2,69,4,2.97,198.9
G2,69,5,2.97,224.3
G2,69,6,2.97,249.6
G2,69,7,2.97,275.0
G2,69,8,2.97,300.3
G2,69,9,2.97,325.7
G2,69,10,12.57,351.03
G2,70,1,3.07,172.0
G2,70,2,3.07,207.5
G2,70,3,3.07,243.0
G2,70,4,3.07,278.5
G2,70,5,3.07,314.0
G2,70,6,3.07,349.5
G2,70,7,3.07,385.0
G2,70,8,3.07,420.5
G2,70,9,3.07,456.0
G2,70,10,13.57,491.49
G2,71,1,3.23,213.0
G2,71,2,3.23,256.9
G2,71,3,3.23,300.9
G2,71,4,3.23,344.9
G2,71,5,3.23,388.8
G2,71,6,3.23,432.8
G2,71,7,3.23,476.7
G2,71,8,3.23,520.7
G2,71,9,3.23,564.6
G2,71,10,13.83,608.56
G2,72,1,3.45,270.3
G2,72,2,3.45,326.1
G2,72,3,3.45,381.9
G2,72,4,3.45,437.7
G2,72,5,3.45,493.5
G2,72,6,3.45,549.3
G2,72,7,3.45,605.1
G2,72,8,3.45,660.8
G2,72,9,3.45,716.6
G2,72,10,13.65,772.42
G2,73,1,3.63,192.9
G2,73,2,3.63,232.7
G2,73,3,3.63,272.5
G2,73,4,3.63,312.3
G2,73,5,3.63,352.1
G2,73,6,3.63,391.9
G2,73,7,3.63,431.7
G2,73,8,3.63,471.5
G2,73,9,3.63,511.3
G2,73,10,12.33,551.07
G2,74,1,3.71,244.1
G2,74,2,3.71,294.4
G2,74,3,3.71,344.8
G2,74,4,3.71,395.2
G2,74,5,3.71,445.5
G2,74,6,3.71,495.9
G2,74,7,3.71,546.3
G2,74,8,3.71,596.6
G2,74,9,3.71,647.0
G2,74,10,11.31,697.35
G2,75,1,3.82,272.9
G2,75,2,3.82,329.3
G2,75,3,3.82,385.6
G2,75,4,3.82,441.9
G2,75,5,3.82,498.2
G2,75,6,3.82,554.5
G2,75,7,3.82,610.9
G2,75,8,3.82,667.2
G2,75,9,3.82,723.5
G2,75,10,10.92,779.83
G2,76,1,3.88,303.0
G2,76,2,3.88,365.6
G2,76,3,3.88,428.1
G2,76,4,3.88,490.6
G2,76,5,3.88,553.1
G2,76,6,3.88,615.7
G2,76,7,3.88,678.2
G2,76,8,3.88,740.7
G2,76,9,3.88,803.3
G2,76,10,11.68,865.79
G2,77,1,3.89,251.7
G2,77,2,3.89,303.6
G2,77,3,3.89,355.6
G2,77,4,3.89,407.5
G2,77,5,3.89,459.4
G2,77,6,3.89,511.4
G2,77,7,3.89,563.3
G2,77,8,3.89,615.2
G2,77,9,3.89,667.2
G2,77,10,10.59,719.09
G2,78,1,3.94,277.5
G2,78,2,3.94,334.8
G2,78,3,3.94,392.1
G2,78,4,3.94,449.4
G2,78,5,3.94,506.6
G2,78,6,3.94,563.9
G2,78,7,3.94,621.2
G2,78,8,3.94,678.4
G2,78,9,3.94,735.7
G2,78,10,10.44,792.99
G2,79,1,3.90,313.9
G2,79,2,3.90,378.7
G2,79,3,3.90,443.5
G2,79,4,3.90,508.2
G2,79,5,3.90,573.0
G2,79,6,3.90,637.8
G2,79,7,3.90,702.6
G2,79,8,3.90,767.3
G2,79,9,3.90,832.1
G2,79,10,9.60,896.9
G2,80,1,3.84,331.0
G2,80,2,3.84,399.3
G2,80,3,3.84,467.6
G2,80,4,3.84,535.9
G2,80,5,3.84,604.2
G2,80,6,3.84,672.5
G2,80,7,3.84,740.8
G2,80,8,3.84,809.2
G2,80,9,3.84,877.5
G2,80,10,10.44,945.76
G2,81,1,3.74,296.0
G2,81,2,3.74,357.1
G2,81,3,3.74,418.2
G2,81,4,3.74,479.3
G2,81,5,3.74,540.4
G2,81,6,3.74,601.4
G2,81,7,3.74,662.5
G2,81,8,3.74,723.6
G2,81,9,3.74,784.7
G2,81,10,11.54,845.77
G2,82,1,3.67,313.2
G2,82,2,3.67,377.9
G2,82,3,3.67,442.5
G2,82,4,3.67,507.1
G2,82,5,3.67,571.8
G2,82,6,3.67,636.4
G2,82,7,3.67,701.0
G2,82,8,3.67,765.7
G2,82,9,3.67,830.3
G2,82,10,12.77,894.94
G2,83,1,3.45,328.8
G2,83,2,3.45,396.7
G2,83,3,3.45,464.6
G2,83,4,3.45,532.4
G2,83,5,3.45,600.3
G2,83,6,3.45,668.1
G2,83,7,3.45,736.0
G2,83,8,3.45,803.9
G2,83,9,3.45,871.7
G2,83,10,13.55,939.57
G2,84,1,3.15,329.9
G2,84,2,3.15,398.0
G2,84,3,3.15,466.0
G2,84,4,3.15,534.1
G2,84,5,3.15,602.2
G2,84,6,3.15,670.3
G2,84,7,3.15,738.3
G2,84,8,3.15,806.4
G2,84,9,3.15,874.5
G2,84,10,14.75,942.57
G2,85,1,3.11,333.5
G2,85,2,3.11,402.4
G2,85,3,3.11,471.2
G2,85,4,3.11,540.0
G2,85,5,3.11,608.8
G2,85,6,3.11,677.7
G2,85,7,3.11,746.5
G2,85,8,3.11,815.3
G2,85,9,3.11,884.2
G2,85,10,13.21,952.98
G2,86,1,3.07,331.4
G2,86,2,3.07,399.8
G2,86,3,3.07,468.1
G2,86,4,3.07,536.5
G2,86,5,3.07,604.9
G2,86,6,3.07,673.3
G2,86,7,3.07,741.7
G2,86,8,3.07,810.0
G2,86,9,3.07,878.4
G2,86,10,11.87,946.8
G2,87,1,2.98,338.5
G2,87,2,2.98,408.3
G2,87,3,2.98,478.2
G2,87,4,2.98,548.0
G2,87,5,2.98,617.9
G2,87,6,2.98,687.7
G2,87,7,2.98,757.6
G2,87,8,2.98,827.4
G2,87,9,2.98,897.3
G2,87,10,10.98,967.13
G2,88,1,2.87,324.5
G2,88,2,2.87,391.5
G2,88,3,2.87,458.5
G2,88,4,2.87,525.5
G2,88,5,2.87,592.4
G2,88,6,2.87,659.4
G2,88,7,2.87,726.4
G2,88,8,2.87,793.3
G2,88,9,2.87,860.3
G2,88,10,11.37,927.27
G2,89,1,2.56,331.0
G2,89,2,2.56,399.3
G2,89,3,2.56,467.6
G2,89,4,2.56,535.9
G2,89,5,2.56,604.2
G2,89,6,2.56,672.5
G2,89,7,2.56,740.8
G2,89,8,2.56,809.2
G2,89,9,2.56,877.5
G2,89,10,11.76,945.76
G2,90,1,2.43,327.1
G2,90,2,2.43,394.6
G2,90,3,2.43,462.1
G2,90,4,2.43,529.6
G2,90,5,2.43,597.1
G2,90,6,2.43,664.6
G2,90,7,2.43,732.1
G2,90,8,2.43,799.6
G2,90,9,2.43,867.1
G2,90,10,9.63,934.55
G2,91,1,2.26,328.5
G2,91,2,2.26,396.3
G2,91,3,2.26,464.1
G2,91,4,2.26,531.8
G2,91,5,2.26,599.6
G2,91,6,2.26,667.4
G2,91,7,2.26,735.2
G2,91,8,2.26,803.0
G2,91,9,2.26,870.7
G2,91,10,9.16,938.53
G2,92,1,2.06,296.7
G2,92,2,2.06,357.9
G2,92,3,2.06,419.1
G2,92,4,2.06,480.3
G2,92,5,2.06,541.5
G2,92,6,2.06,602.7
G2,92,7,2.06,664.0
G2,92,8,2.06,725.2
G2,92,9,2.06,786.4
G2,92,10,9.36,847.61
G2,93,1,2.06,328.8
G2,93,2,2.06,396.7
G2,93,3,2.06,464.6
G2,93,4,2.06,532.4
G2,93,5,2.06,600.3
G2,93,6,2.06,668.1
G2,93,7,2.06,736.0
G2,93,8,2.06,803.9
